Occurrence ID,Scientific name,Common name,Date,Date day,Date month,Date year,OSGR,Latitude,Longitude,Coordinate uncertainty (m),Individual count,Life stage,Country,OSG 10m,OSG 100m,OSG 1km,OSG 10km,OSG 100km
167,Cetorhinus maximus,Basking Shark,2003-07-14,14,7,2003,NR4824824557,55.44994,-5.9828,70.1,1.0,Adult,Scotland,NR48242455,NR482245,NR4824,NR42,NR
194,Cetorhinus maximus,Basking Shark,2003-07-18,18,7,2003,NL8452132707,56.381,-7.1128,70.1,1.0,Adult,Scotland,NL84523270,NL845327,NL8432,NL83,NL
195,Cetorhinus maximus,Basking Shark,2003-07-20,20,7,2003,NM2660037618,56.45119,-6.438667,70.1,2.0,Adult|Juvenile,Scotland,NM26603761,NM266376,NM2637,NM23,NM
199,Cetorhinus maximus,Basking Shark,2003-07-20,20,7,2003,NM2932147407,56.54045,-6.404833,70.1,1.0,Adult,Scotland,NM29324740,NM293474,NM2947,NM24,NM
198,Cetorhinus maximus,Basking Shark,2003-07-20,20,7,2003,NM2919746457,56.53187,-6.40585,70.1,4.0,Adult,Scotland,NM29194645,NM291464,NM2946,NM24,NM
196,Cetorhinus maximus,Basking Shark,2003-07-20,20,7,2003,NM2699138239,56.45698,-6.433,70.1,1.0,Adult,Scotland,NM26993823,NM269382,NM2638,NM23,NM
197,Cetorhinus maximus,Basking Shark,2003-07-20,20,7,2003,NM2788639458,56.46842,-6.4198,70.1,1.0,Adult,Scotland,NM27883945,NM278394,NM2739,NM23,NM
208,Cetorhinus maximus,Basking Shark,2003-07-21,21,7,2003,NM1584150392,56.55922,-6.6266,70.1,1.0,Adult,Scotland,NM15845039,NM158503,NM1550,NM15,NM
202,Cetorhinus maximus,Basking Shark,2003-07-21,21,7,2003,NM1018466791,56.70259,-6.736717,70.1,1.0,Adult,Scotland,NM10186679,NM101667,NM1066,NM16,NM
205,Cetorhinus maximus,Basking Shark,2003-07-21,21,7,2003,NM0824053760,56.58472,-6.753633,70.1,1.0,Adult,Scotland,NM08245376,NM082537,NM0853,NM05,NM
212,Cetorhinus maximus,Basking Shark,2003-07-21,21,7,2003,NM0813962354,56.6616,-6.764967,70.1,2.0,Adult,Scotland,NM08136235,NM081623,NM0862,NM06,NM
